,certificate,genre,gross,id,imdb_rating,metascore,runtime,title,votes,year
72,R,"['Adventure', 'Comedy', 'Crime']",3143056.0,tt4971344,7.0,78.0,122 min,The Sisters Brothers,25359.0,['2018']
73,R,['Drama'],3703184.0,tt7545524,6.8,66.0,103 min,Ben Is Back,7259.0,['2018']
74,R,"['Biography', 'Drama', 'Horror']",253184.0,tt4669296,6.5,47.0,118 min,Lords of Chaos,3919.0,['2018']
75,R,"['Comedy', 'Crime', 'Drama']",,tt5691670,6.3,61.0,139 min,Under the Silver Lake,12339.0,['2018']
76,R,"['Biography', 'Comedy', 'Crime']",8803865.0,tt4595882,7.2,87.0,106 min,Can You Ever Forgive Me?,23764.0,['2018']
77,R,"['Crime', 'Mystery', 'Thriller']",252676.0,tt1273221,4.3,16.0,118 min,London Fields,2143.0,['2018']
78,,"['Fantasy', 'Horror']",,tt6469548,7.5,,72 min,The Head Hunter,69.0,['2018']
79,R,"['Drama', 'Sci-Fi', 'Thriller']",,tt4209174,5.6,,80 min,Chimera Strain,873.0,['2018']
80,PG-13,"['Biography', 'Drama']",24622687.0,tt4669788,6.7,59.0,120 min,On the Basis of Sex,6778.0,['2018']
81,R,"['Horror', 'Thriller']",159342015.0,tt1502407,6.7,67.0,106 min,Halloween,81469.0,['2018']
82,R,"['Biography', 'Drama']",7649973.0,tt1226837,7.3,62.0,120 min,Beautiful Boy,26442.0,['2018']
83,R,"['Drama', 'Music']",,tt7942742,6.0,65.0,134 min,Her Smell,403.0,['2018']
84,PG-13,"['Comedy', 'Musical', 'Romance']",120634935.0,tt6911608,6.8,60.0,114 min,Mamma Mia! Here We Go Again,54945.0,['2018']
85,R,['Thriller'],112532.0,tt6866224,6.7,58.0,111 min,The Hummingbird Project,558.0,['2018']
86,PG-13,['Drama'],1028993.0,tt5929754,7.0,80.0,105 min,Wildlife,11674.0,['2018']
87,R,"['Action', 'Crime', 'Drama']",44947622.0,tt1259528,7.0,49.0,140 min,Den of Thieves,66465.0,['2018']
88,TV-14,"['Comedy', 'Romance']",,tt3799232,6.2,,105 min,The Kissing Booth,40908.0,['2018']
89,PG-13,"['Action', 'Horror', 'Sci-Fi']",145443742.0,tt4779682,5.7,46.0,113 min,The Meg,102337.0,['2018']
90,PG-13,"['Adventure', 'Drama']",2268754.0,tt6820256,7.3,71.0,98 min,Arctic,2950.0,['2018']
91,R,"['Action', 'Adventure', 'Sci-Fi']",51024708.0,tt3829266,5.4,48.0,107 min,The Predator,87412.0,['2018']
92,PG-13,"['Drama', 'Sci-Fi', 'Thriller']",4046429.0,tt4154916,5.4,19.0,107 min,Replicas,11959.0,['2018']
93,R,"['Drama', 'Fantasy', 'Romance']",771930.0,tt5501104,7.1,75.0,110 min,Border,8317.0,['2018']
94,R,"['Crime', 'Drama']",3270902.0,tt8075192,8.1,93.0,121 min,Shoplifters,24106.0,['2018']
95,R,"['Action', 'Drama', 'Thriller']",46874505.0,tt2873282,6.6,53.0,140 min,Red Sparrow,131588.0,['2018']
96,R,"['Drama', 'Music']",727119.0,tt5960374,6.1,68.0,114 min,Vox Lux,6502.0,['2018']
97,R,"['Action', 'Comedy', 'Crime']",69001013.0,tt2704998,7.0,66.0,100 min,Game Night,154973.0,['2018']
98,PG-13,"['Action', 'Adventure', 'Thriller']",67796355.0,tt5758778,5.8,51.0,102 min,Skyscraper,74489.0,['2018']
99,R,"['Action', 'Crime', 'Drama']",50072235.0,tt5052474,7.1,61.0,122 min,Sicario: Day of the Soldado,87890.0,['2018']
100,R,"['Biography', 'Drama']",6788692.0,tt7008872,7.0,69.0,115 min,Boy Erased,15478.0,['2018']
101,R,"['Adventure', 'Drama', 'Horror']",,tt4827558,6.7,81.0,110 min,High Life,1686.0,['2018']
102,R,"['Action', 'Sci-Fi', 'Thriller']",11871365.0,tt6499752,7.6,67.0,100 min,Upgrade,96597.0,['2018']
103,R,"['Horror', 'Mystery', 'Thriller']",14837422.0,tt5734576,5.2,37.0,86 min,The Possession of Hannah Grace,9494.0,['2018']
104,R,"['Horror', 'Mystery', 'Thriller']",117443149.0,tt5814060,5.4,46.0,96 min,The Nun,81983.0,['2018']
105,PG-13,"['Comedy', 'Romance']",48795601.0,tt6791096,5.4,48.0,110 min,I Feel Pretty,37193.0,['2018']
106,R,"['Drama', 'Sci-Fi', 'Thriller']",,tt7946422,6.1,68.0,100 min,Prospect,4893.0,['2018']
107,Not Rated,"['Drama', 'Mystery']",718991.0,tt7282468,7.6,90.0,148 min,Burning,17600.0,['2018']
108,PG-13,"['Biography', 'Comedy', 'Crime']",11277120.0,tt2837574,6.8,80.0,93 min,The Old Man & the Gun,22071.0,['2018']
109,TV-14,"['Drama', 'Romance']",,tt3846674,7.3,64.0,99 min,To All the Boys I've Loved Before,57294.0,['2018']
110,R,"['Action', 'Crime', 'Drama']",34017028.0,tt1137450,6.4,31.0,107 min,Death Wish,47248.0,['2018']
111,R,"['Crime', 'Drama', 'Thriller']",207140.0,tt6742252,7.5,83.0,85 min,The Guilty,21371.0,['2018']
112,PG-13,"['Action', 'Adventure', 'Sci-Fi']",99345950.0,tt2231461,6.1,45.0,107 min,Rampage,110453.0,['2018']
113,PG-13,"['Action', 'Adventure', 'Fantasy']",57421715.0,tt1365519,6.3,48.0,119 min,Tomb Raider,157116.0,['2018']
114,PG,"['Adventure', 'Family', 'Fantasy']",54858851.0,tt5523010,5.5,39.0,99 min,The Nutcracker and the Four Realms,16323.0,['2018']
115,R,"['Biography', 'Drama', 'History']",5137622.0,tt5437928,6.8,74.0,111 min,Colette,10312.0,['2018']
116,R,"['Action', 'Comedy', 'Fantasy']",,tt6905696,5.3,,104 min,Slaughterhouse Rulez,2921.0,['2018']
117,PG-13,"['Adventure', 'Drama', 'Fantasy']",,tt2388771,6.5,51.0,104 min,Mowgli: Legend of the Jungle,42165.0,['2018']
118,PG-13,"['Biography', 'Drama']",2294915.0,tt6938828,6.9,78.0,111 min,At Eternity's Gate,13160.0,['2018']
119,R,"['Biography', 'Crime', 'Drama']",4343227.0,tt1801552,4.8,24.0,112 min,Gotti,9439.0,['2018']
120,R,"['Comedy', 'Drama']",7362439.0,tt5613484,7.4,66.0,85 min,Mid90s,16951.0,['2018']
121,TV-MA,"['Biography', 'Drama', 'History']",,tt6704776,6.7,,110 min,El fotógrafo de Mauthausen,2995.0,['2018']
122,R,"['Action', 'Crime', 'Thriller']",102084362.0,tt3766354,6.7,50.0,121 min,The Equalizer 2,88448.0,['2018']
123,PG-13,['Comedy'],52856061.0,tt5619332,5.5,46.0,105 min,Life of the Party,24038.0,['2018']
124,PG,"['Animation', 'Comedy', 'Family']",270620950.0,tt2709692,6.3,51.0,86 min,The Grinch,26924.0,['2018']
125,R,"['Action', 'Crime', 'Drama']",35418723.0,tt6850820,6.5,29.0,101 min,Peppermint,32166.0,['2018']
126,R,"['Action', 'Biography', 'Drama']",,tt6679794,7.0,59.0,121 min,Outlaw King,42246.0,['2018']
127,R,"['Biography', 'Drama', 'War']",1633208.0,tt2368254,6.7,75.0,110 min,A Private War,7707.0,['2018']
128,,"['Adventure', 'Horror']",,tt4767428,8.3,,104 min,Lad de døde hvile,53.0,['2018']
129,Not Rated,"['Adventure', 'Comedy', 'Drama']",,tt1318517,6.5,56.0,132 min,The Man Who Killed Don Quixote,6250.0,['2018']
130,R,"['Action', 'Adventure', 'Thriller']",36108758.0,tt4560436,6.1,38.0,94 min,Mile 22,44020.0,['2018']
131,PG-13,"['Comedy', 'Drama', 'Romance']",40826341.0,tt5164432,7.6,72.0,110 min,"Love, Simon",77737.0,['2018']
132,R,"['Comedy', 'Drama']",13539709.0,tt7014006,7.5,90.0,93 min,Eighth Grade,37985.0,['2018']
133,PG-13,"['Comedy', 'Drama', 'Musical']",,tt4878482,6.7,53.0,110 min,Dumplin',17165.0,['2018']
134,PG-13,"['Drama', 'Music']",,tt6483364,6.1,54.0,92 min,Teen Spirit,179.0,['2018']
135,PG,"['Animation', 'Adventure', 'Comedy']",167510016.0,tt5220122,6.3,54.0,97 min,Hotel Transylvania 3: Summer Vacation,39085.0,['2018']
136,R,"['Comedy', 'Fantasy', 'Sci-Fi']",17493096.0,tt5688932,7.0,80.0,111 min,Sorry to Bother You,36554.0,['2018']
137,PG-13,"['Animation', 'Adventure', 'Comedy']",32015231.0,tt5104604,7.9,82.0,101 min,Isle of Dogs,102073.0,['2018']
138,R,"['Biography', 'Drama']",,tt5460858,6.5,54.0,127 min,The White Crow,335.0,['2018']
139,PG-13,"['Crime', 'Drama']",29719483.0,tt5580266,7.2,81.0,133 min,The Hate U Give,14964.0,['2018']
140,R,"['Drama', 'Romance', 'Thriller']",100407760.0,tt4477536,4.5,31.0,105 min,Fifty Shades Freed,42031.0,['2018']
141,R,['Comedy'],59839515.0,tt2531344,6.2,69.0,102 min,Blockers,53948.0,['2018']
142,,['Comedy'],,tt6644632,7.7,,,Making Babies,42.0,['2018']
143,R,"['Crime', 'Mystery', 'Thriller']",,tt4131496,5.8,66.0,107 min,The Vanishing,5785.0,['2018']
144,PG-13,"['Action', 'Sci-Fi', 'Thriller']",58032443.0,tt4500922,6.2,50.0,143 min,Maze Runner: The Death Cure,87562.0,['2018']
145,Unrated,"['Drama', 'Mystery']",1251044.0,tt5779372,5.9,,97 min,An Interview with God,1343.0,['2018']
146,PG,"['Animation', 'Action', 'Adventure']",30712119.0,tt7961060,8.1,59.0,100 min,Dragon Ball Super: Broly,14449.0,['2018']
147,TV-MA,"['Horror', 'Mystery', 'Sci-Fi']",,tt4971408,4.8,,91 min,Await Further Instructions,3754.0,['2018']
148,PG-13,"['Biography', 'Drama', 'Fantasy']",25091816.0,tt1072748,5.4,28.0,99 min,Winchester,23154.0,['2018']
149,TV-14,"['Action', 'Drama']",,tt9063106,7.6,,115 min,Paskal: The Movie,2023.0,['2018']
150,R,"['Comedy', 'Crime', 'Drama']",,tt6474040,6.8,,92 min,Stockholm,157.0,['2018']
151,TV-MA,"['Drama', 'Fantasy', 'Horror']",,tt6217306,6.3,62.0,130 min,Apostle,27201.0,['2018']
152,R,['Drama'],13846.0,tt5855772,6.7,68.0,142 min,Napszállta,1435.0,['2018']
153,R,"['Comedy', 'Drama', 'Mystery']",9227130.0,tt5610554,7.0,75.0,95 min,Tully,38425.0,['2018']
154,TV-MA,"['Comedy', 'Thriller']",,tt2140629,5.7,41.0,85 min,Arizona,4024.0,['2018']
155,PG,"['Biography', 'Drama', 'Family']",83482352.0,tt6450186,7.4,30.0,110 min,I Can Only Imagine,10732.0,['2018']
156,R,"['Drama', 'Romance']",4102648.0,tt5989218,6.5,21.0,117 min,Life Itself,7938.0,['2018']
157,PG-13,"['Comedy', 'Sport']",42469946.0,tt7334528,5.7,57.0,103 min,Uncle Drew,8938.0,['2018']
158,Not Rated,"['Crime', 'Thriller']",1193046.0,tt8108198,8.5,,139 min,Andhadhun,37973.0,['2018']
159,PG,['Drama'],6046104.0,tt3892172,7.2,88.0,109 min,Leave No Trace,30484.0,['2018']
160,R,['Drama'],,tt5360996,5.8,47.0,120 min,Mary Magdalene,5351.0,['2018']
161,TV-MA,"['Drama', 'Mystery', 'Sci-Fi']",,tt9495224,7.3,,90 min,Black Mirror: Bandersnatch,85234.0,['2018']
162,R,"['Action', 'Drama', 'History']",45495662.0,tt1413492,6.6,54.0,130 min,12 Strong,47708.0,['2018']
163,PG,"['Action', 'Adventure', 'Comedy']",4280890.0,tt6921996,6.2,39.0,89 min,Johnny English Strikes Again,43091.0,['2018']
164,R,"['Action', 'Adventure', 'Comedy']",33562069.0,tt6663582,6.0,52.0,117 min,The Spy Who Dumped Me,43363.0,['2018']
165,,['Drama'],,tt4042818,6.4,28.0,123 min,The Death and Life of John F. Donovan,663.0,['2018']
