,certificate,genre,gross,imdb_rating,metascore,runtime,title,votes,year
188,,"['Action', 'Crime', 'Drama']",,2.7,,95 min,Kiss Kiss,136.0,['2019']
189,,"['Comedy', 'Romance']",,,,89 min,The Perfect Date,,['2019']
190,,"['Comedy', 'Drama', 'Thriller']",,7.4,,88 min,Villains,34.0,['2019']
191,,"['Action', 'War']",,7.8,,130 min,Balkanskiy rubezh,659.0,['2019']
192,,"['Drama', 'War']",,,,,The Last Full Measure,,['2019']
193,,"['Comedy', 'Crime', 'Drama']",,3.9,,104 min,Bombairiya,123.0,['2019']
194,,"['Biography', 'Drama']",,,,,Dolemite Is My Name,,['2019']
195,,"['Comedy', 'Drama']",,4.2,,109 min,Fraud Saiyyan,252.0,['2019']
196,TV-MA,['Comedy'],,5.6,31.0,98 min,The Last Laugh,3203.0,['2019']
197,,"['Drama', 'War']",,,,,The Outpost,,['2019']
198,,"['Crime', 'Drama', 'Thriller']",,,,,21 Bridges,,['2019']
199,,['Comedy'],,,,,Poms,,['2019']
200,,['Drama'],,6.7,,121 min,Dilan 1991,300.0,['2019']
201,PG-13,"['Animation', 'Action', 'Sci-Fi']",,6.8,,87 min,Reign of the Supermen,5537.0,['2019']
202,R,['Drama'],,,,96 min,The Long Home,,['2019']
203,,"['Drama', 'Horror', 'Thriller']",,7.4,68.0,100 min,The Lodge,89.0,['2019']
204,,"['Crime', 'Drama', 'Horror']",,6.7,28.0,115 min,Der goldene Handschuh,830.0,['2019']
205,,"['Animation', 'Adventure', 'Comedy']",,,,,Playmobil: The Movie,,['2019']
206,,"['Crime', 'Drama', 'Thriller']",,,,,The Tax Collector,,['2019']
207,,"['Animation', 'Adventure']",,,,,Call of the Wild,,['2019']
208,,"['Comedy', 'Romance']",,4.5,,86 min,En las buenas y en las malas,92.0,['2019']
209,PG-13,['Horror'],,,,,The Silence,,['2019']
210,,"['Drama', 'War']",,,,,1917,,['2019']
211,,['Drama'],,,,,Jungleland,,['2019']
212,,"['Action', 'Adventure', 'Sci-Fi']",,2.9,,113 min,The Directive,79.0,['2019']
213,,"['Biography', 'Drama', 'Thriller']",,8.2,63.0,112 min,Official Secrets,66.0,['2019']
214,PG,"['Action', 'Adventure', 'Fantasy']",,,,,The King's Daughter,,['2019']
215,,['Drama'],,,,,Torrance,,['2019']
216,TV-14,"['Drama', 'Thriller']",,4.7,,87 min,Only Mine,596.0,['2019']
217,,"['Action', 'Crime', 'Drama']",,8.9,,,Lucifer,355.0,['2019']
218,,"['Crime', 'Drama', 'Mystery']",,,,,The Last Thing He Wanted,,['2019']
219,,"['Action', 'Fantasy']",,5.1,,108 min,The Knight of Shadows: Between Yin and Yang,311.0,['2019']
220,,"['Horror', 'Mystery', 'Thriller']",,3.2,,103 min,Nereus,109.0,['2019']
221,,"['Horror', 'Sci-Fi', 'Thriller']",,7.0,,77 min,Red 11,14.0,['2019']
222,,['Drama'],,,,,The Laundromat,,['2019']
223,R,['Drama'],61098.0,7.2,,137 min,Cliffs of Freedom,82.0,['2019']
224,,['Comedy'],,7.0,66.0,90 min,Big Time Adolescence,75.0,['2019']
225,PG-13,"['Drama', 'Romance']",,,,,Life in a Year,,['2019']
226,,['Horror'],,,,,Abruptio,,['2019']
227,,['Action'],,3.2,,89 min,Atone,110.0,['2019']
228,,"['Biography', 'Drama', 'Musical']",,7.5,,93 min,Daffodils,35.0,['2019']
229,R,['Thriller'],,3.3,,88 min,What Lies Ahead,119.0,['2019']
230,,"['Crime', 'Thriller']",,,,89 min,Domino,,['2019']
231,,"['Action', 'Horror', 'Thriller']",,,,,The Hunt,,['2019']
232,,['Drama'],,4.4,,83 min,Paris est à nous,638.0,['2019']
233,,['Fantasy'],,6.8,,95 min,Paradise Hills,61.0,['2019']
234,,['Thriller'],,4.6,,82 min,An Affair to Die For,342.0,['2019']
235,,['Drama'],,,,,The Personal History of David Copperfield,,['2019']
236,,"['Action', 'Sci-Fi', 'Thriller']",,,,,Boss Level,,['2019']
237,,['Drama'],,7.6,,115 min,Le chant du loup,926.0,['2019']
238,,['Thriller'],,5.9,38.0,99 min,American Hangman,868.0,['2019']
239,,"['Biography', 'Drama']",,,,,Untitled Roger Ailes Project,,['2019']
240,,['Comedy'],,7.6,75.0,88 min,The Day Shall Come,28.0,['2019']
241,,['Sci-Fi'],,,,,Code 8,,['2019']
242,,"['Comedy', 'Crime', 'Drama']",,,,,Uncut Gems,,['2019']
243,R,['Thriller'],,,,,The Poison Rose,,['2019']
244,,['Drama'],,7.1,,,The Glass Room,39.0,['2019']
245,,['Action'],578423.0,7.6,,98 min,Furie,391.0,['2019']
246,,"['Comedy', 'Drama']",,6.0,,99 min,Qu'est-ce qu'on a encore fait au bon Dieu?,594.0,['2019']
247,,['Thriller'],,8.5,,96 min,I See You,52.0,['2019']
248,,['Biography'],,,,,PM Narendra Modi,,['2019']
249,,"['Drama', 'Fantasy', 'Horror']",,,,,The Lighthouse,,['2019']
250,,"['Action', 'Adventure', 'Thriller']",,,,,Project X-Traction,,['2019']
251,TV-MA,['Comedy'],,7.1,,93 min,The Way We Weren't,64.0,['2019']
252,,"['Drama', 'War']",,,,,Greyhound,,['2019']
253,Not Rated,"['Action', 'Adventure', 'Drama']",,5.6,30.0,125 min,SGT. Will Gardner,266.0,['2019']
254,PG,"['Adventure', 'Drama', 'Family']",,7.0,,99 min,Storm Boy,208.0,['2019']
255,,['Drama'],,7.3,,78 min,"Yes, God, Yes",36.0,['2019']
256,,"['Action', 'Drama']",,,,,Dhaka,,['2019']
257,,"['Drama', 'Romance']",,,,,All the Bright Places,,['2019']
258,,['Comedy'],,5.4,,121 min,Como Novio de Pueblo,85.0,['2019']
259,,['Drama'],,7.6,,99 min,Run This Town,14.0,['2019']
260,PG-13,"['Comedy', 'Sport']",,6.2,,91 min,Benchwarmers 2: Breaking Balls,84.0,['2019']
261,,"['Drama', 'Fantasy', 'Mystery']",,7.4,,96 min,Ulan,67.0,['2019']
262,PG-13,"['Drama', 'Horror', 'Thriller']",,5.0,,88 min,Polaroid,169.0,['2019']
263,,"['Action', 'Drama', 'War']",,4.0,,96 min,Spasti Leningrad,148.0,['2019']
264,,"['Comedy', 'Fantasy']",,8.0,70.0,94 min,Extra Ordinary,28.0,['2019']
265,,"['Comedy', 'Romance']",,7.6,,118 min,Friend Zone,382.0,['2019']
266,,"['Sci-Fi', 'Thriller']",,7.3,56.0,115 min,I Am Mother,94.0,['2019']
267,,"['Action', 'Drama', 'War']",,,,,Danger Close,,['2019']
268,,['Drama'],,,,,Untitled Drake Doremus Project,,['2019']
269,,['Thriller'],,,,,The Education of Fredrick Fitzell,,['2019']
270,,"['Biography', 'Drama', 'Musical']",,,,,Judy,,['2019']
271,,"['Mystery', 'Thriller']",,4.4,,97 min,Deadly Switch,473.0,['2019']
272,TV-14,['Thriller'],,2.9,,78 min,I See You,173.0,['2019']
273,Not Rated,"['Action', 'Crime', 'Drama']",85148.0,8.0,,143 min,Sonchiriya,937.0,['2019']
274,,['Horror'],,,,,The Purge: Survival,,['2019']
275,,"['Horror', 'Thriller']",,,,,I Spit on Your Grave: Deja Vu,,['2019']
276,,"['Comedy', 'Horror']",,,,,The Dead Don't Die,,['2019']
277,,['Comedy'],,6.1,,121 min,Organize Isler: Sazan Sarmali,6980.0,['2019']
278,,"['Comedy', 'Horror', 'Music']",,8.2,72.0,87 min,Boyz in the Wood,28.0,['2019']
279,,['Comedy'],,,,,The Last Summer,,['2019']
280,,['Romance'],,,,113 min,Notebook,,['2019']
281,,"['Action', 'Adventure', 'Fantasy']",,,,,Brahmastra,,['2019']
282,R,['Action'],,,,,General Commander,,['2019']
283,,['Drama'],,5.7,34.0,112 min,The Kindness of Strangers,115.0,['2019']
284,,['Comedy'],,,,,Always Be My Maybe,,['2019']
